Date;adj_open;adj_high;adj_low;adj_close
2002-07-30;46.14560430491674;46.23027626744819;46.015774;46.015774
2002-07-31;46.25848506604682;46.738289718840775;46.230264284527124;46.585879999999996
2002-08-01;46.59150154423082;46.8624457422473;46.59150154423082;46.851158
2002-08-02;46.9414510612598;47.472050871583015;46.78339509378642;47.330933
2002-08-05;47.4382130707861;47.664002366844386;47.33096172986704;47.539818
2002-08-06;47.34226732898482;47.359200924153555;46.97535940782527;47.133410999999995
2002-08-07;47.18985736531618;47.49467280522956;47.054385780758196;47.246303999999995
2002-08-08;47.17857018337298;47.28581703940907;47.054385780758196;47.246303999999995
2002-08-09;47.41561270319083;47.91234599999999;47.41561270319083;47.91234599999999
2002-08-12;48.14947035619216;48.93972788527861;48.059152565055946;48.205917
2002-08-13;48.42039300292182;48.809879694484984;48.18896181055696;48.798588
2002-08-14;49.36868468107675;49.61705387401177;48.96791041677702;48.984844
2002-08-15;48.75905678295314;48.82679507068571;48.45988738918819;48.555847
2002-08-16;48.7929738256989;48.838128775385115;47.878527812803384;48.014
2002-08-19;48.008319335820154;48.17201217600915;47.816396701702715;48.160725
2002-08-20;48.330079697938885;48.708274694468614;48.31878743899845;48.696983
2002-08-21;48.36395178286801;48.60102884893828;48.335726494807794;48.43733199999999
2002-08-22;48.290594176148474;48.290594176148474;48.014;48.014
2002-08-23;48.093029638526794;48.51638378757559;48.093029638526794;48.488163
2002-08-26;48.37524247353313;48.66312428538414;48.35830888018698;48.533297999999995
2002-08-27;48.205918116165236;48.363969174064394;48.09302087463093;48.228497000000004
2002-08-28;48.567135039126256;48.64616049541772;48.4542379013926;48.471176
2002-08-29;48.973572613545485;49.030019226902894;48.74213692655871;48.860676
2002-08-30;48.96793216369012;49.18242976966598;48.79858891812351;49.15420900000001
2002-09-03;49.36566543132795;49.909889;49.320312286229985;49.909889
2002-09-04;49.90422613603865;50.05729146407114;49.79651339281204;49.898556
2002-09-05;50.21036402451977;50.25571718634307;49.535750906982564;50.170681
2002-09-06;49.8701901137807;49.99490867204493;49.43367487640596;49.581070000000004
